Date,Adj Close
03/01/1960,56.01
03/02/1960,55.62
03/03/1960,54.78
03/04/1960,54.57
03/07/1960,54.02
03/08/1960,53.47
03/09/1960,54.04
03/10/1960,53.83
03/11/1960,54.24
03/14/1960,54.32
03/15/1960,54.74
03/16/1960,55.04
03/17/1960,54.96
03/18/1960,55.01
03/21/1960,55.07
03/22/1960,55.29
03/23/1960,55.74
03/24/1960,55.98
03/25/1960,55.98
03/28/1960,55.86
03/29/1960,55.78
03/30/1960,55.66
03/31/1960,55.34
04/01/1960,55.43
04/04/1960,55.54
04/05/1960,55.37
04/06/1960,56.51
04/07/1960,56.52
04/08/1960,56.39
04/11/1960,56.17
04/12/1960,56.3
04/13/1960,56.3
04/14/1960,56.43
04/18/1960,56.59
04/19/1960,56.13
04/20/1960,55.44
04/21/1960,55.59
04/22/1960,55.42
04/25/1960,54.86
04/26/1960,55.04
04/27/1960,55.04
04/28/1960,54.56
04/29/1960,54.37
05/02/1960,54.13
05/03/1960,54.83
05/04/1960,55.04
05/05/1960,54.86
05/06/1960,54.75
05/09/1960,54.8
05/10/1960,54.42
05/11/1960,54.57
05/12/1960,54.85
05/13/1960,55.3
05/16/1960,55.25
05/17/1960,55.46
05/18/1960,55.44
05/19/1960,55.68
05/20/1960,55.73
05/23/1960,55.76
05/24/1960,55.7
05/25/1960,55.67
05/26/1960,55.71
05/27/1960,55.74
05/31/1960,55.83
06/01/1960,55.89
06/02/1960,56.13
06/03/1960,56.23
06/06/1960,56.89
06/07/1960,57.43
06/08/1960,57.89
06/09/1960,58
06/10/1960,57.97
06/13/1960,57.99
06/14/1960,57.91
06/15/1960,57.57
06/16/1960,57.5
06/17/1960,57.44
06/20/1960,57.16
06/21/1960,57.11
06/22/1960,57.28
06/23/1960,57.59
06/24/1960,57.68
06/27/1960,57.33
06/28/1960,56.94
06/29/1960,56.94
06/30/1960,56.92
07/01/1960,57.06
07/05/1960,57.02
07/06/1960,56.94
07/07/1960,57.24
07/08/1960,57.38
07/11/1960,56.87
07/12/1960,56.25
07/13/1960,56.1
07/14/1960,56.12
07/15/1960,56.05
07/18/1960,55.7
07/19/1960,55.7
07/20/1960,55.61
07/21/1960,55.1
07/22/1960,54.72
07/25/1960,54.18
07/26/1960,54.51
07/27/1960,54.17
07/28/1960,54.57
07/29/1960,55.51
08/01/1960,55.53
08/02/1960,55.04
08/03/1960,54.72
08/04/1960,54.89
08/05/1960,55.44
08/08/1960,55.52
08/09/1960,55.84
08/10/1960,56.07
08/11/1960,56.28
08/12/1960,56.66
08/15/1960,56.61
08/16/1960,56.72
08/17/1960,56.84
08/18/1960,56.81
08/19/1960,57.01
08/22/1960,57.19
08/23/1960,57.75
08/24/1960,58.07
08/25/1960,57.79
08/26/1960,57.6
08/29/1960,57.44
08/30/1960,56.84
08/31/1960,56.96
09/01/1960,57.09
09/02/1960,57
09/06/1960,56.49
09/07/1960,55.79
09/08/1960,55.74
09/09/1960,56.11
09/12/1960,55.72
09/13/1960,55.83
09/14/1960,55.44
09/15/1960,55.22
09/16/1960,55.11
09/19/1960,53.86
09/20/1960,54.01
09/21/1960,54.57
09/22/1960,54.36
09/23/1960,53.9
09/26/1960,53.06
09/27/1960,52.94
09/28/1960,52.48
09/29/1960,52.62
09/30/1960,53.52
10/03/1960,53.36
10/04/1960,52.99
10/05/1960,53.39
10/06/1960,53.72
10/07/1960,54.03
10/10/1960,54.14
10/11/1960,54.22
10/12/1960,54.15
10/13/1960,54.57
10/14/1960,54.86
10/17/1960,54.63
10/18/1960,54.35
10/19/1960,54.25
10/20/1960,53.86
10/21/1960,53.72
10/24/1960,52.7
10/25/1960,52.2
10/26/1960,53.05
10/27/1960,53.62
10/28/1960,53.41
10/31/1960,53.39
11/01/1960,53.94
11/02/1960,54.22
11/03/1960,54.43
11/04/1960,54.9
11/07/1960,55.11
11/09/1960,55.35
11/10/1960,56.43
11/11/1960,55.87
11/14/1960,55.59
11/15/1960,55.81
11/16/1960,55.7
11/17/1960,55.55
11/18/1960,55.82
11/21/1960,55.93
11/22/1960,55.72
11/23/1960,55.8
11/25/1960,56.13
11/28/1960,56.03
11/29/1960,55.83
11/30/1960,55.54
12/01/1960,55.3
12/02/1960,55.39
12/05/1960,55.31
12/06/1960,55.47
12/07/1960,56.02
12/08/1960,56.15
12/09/1960,56.65
12/12/1960,56.85
12/13/1960,56.88
12/14/1960,56.84
12/15/1960,56.68
12/16/1960,57.2
12/19/1960,57.13
12/20/1960,57.09
12/21/1960,57.55
12/22/1960,57.39
12/23/1960,57.44
12/27/1960,57.52
12/28/1960,57.78
12/29/1960,58.05
12/30/1960,58.11
01/03/1961,57.57
01/04/1961,58.36
01/05/1961,58.57
01/06/1961,58.4
01/09/1961,58.81
01/10/1961,58.97
01/11/1961,59.14
01/12/1961,59.32
01/13/1961,59.6
01/16/1961,59.58
01/17/1961,59.64
01/18/1961,59.68
01/19/1961,59.77
01/20/1961,59.96
01/23/1961,60.29
01/24/1961,60.45
01/25/1961,60.53
01/26/1961,60.62
01/27/1961,61.24
01/30/1961,61.97
01/31/1961,61.78
02/01/1961,61.9
02/02/1961,62.3
02/03/1961,62.22
02/06/1961,61.76
02/07/1961,61.65
02/08/1961,62.21
02/09/1961,62.02
02/10/1961,61.5
02/13/1961,61.14
02/14/1961,61.41
02/15/1961,61.92
02/16/1961,62.3
02/17/1961,62.1
02/20/1961,62.32
02/21/1961,62.36
02/23/1961,62.59
02/24/1961,62.84
02/27/1961,63.3
02/28/1961,63.44
03/01/1961,63.43
03/02/1961,63.85
03/03/1961,63.95
03/06/1961,64.05
03/07/1961,63.47
03/08/1961,63.44
03/09/1961,63.5
03/10/1961,63.48
03/13/1961,63.66
03/14/1961,63.38
03/15/1961,63.57
03/16/1961,64.21
03/17/1961,64
03/20/1961,64.86
03/21/1961,64.74
03/22/1961,64.7
03/23/1961,64.53
03/24/1961,64.42
03/27/1961,64.35
03/28/1961,64.38
03/29/1961,64.93
03/30/1961,65.06
04/03/1961,65.6
04/04/1961,65.66
04/05/1961,65.46
04/06/1961,65.61
04/07/1961,65.96
04/10/1961,66.53
04/11/1961,66.62
04/12/1961,66.31
04/13/1961,66.26
04/14/1961,66.37
04/17/1961,68.68
04/18/1961,66.2
04/19/1961,65.81
04/20/1961,65.82
04/21/1961,65.77
04/24/1961,64.4
04/25/1961,65.3
04/26/1961,65.55
04/27/1961,65.46
04/28/1961,65.31
05/01/1961,65.17
05/02/1961,65.64
05/03/1961,66.18
05/04/1961,66.44
05/05/1961,66.52
05/08/1961,66.41
05/09/1961,66.47
05/10/1961,66.41
05/11/1961,66.39
05/12/1961,66.5
05/15/1961,66.83
05/16/1961,67.08
05/17/1961,67.39
05/18/1961,66.99
05/19/1961,67.27
05/22/1961,66.85
05/23/1961,66.68
05/24/1961,66.26
05/25/1961,66.01
05/26/1961,66.43
05/31/1961,66.56
06/01/1961,66.56
06/02/1961,66.73
06/05/1961,67.08
06/06/1961,66.89
06/07/1961,65.64
06/08/1961,66.67
06/09/1961,66.66
06/12/1961,66.15
06/13/1961,65.8
06/14/1961,65.98
06/15/1961,65.69
06/16/1961,65.18
06/19/1961,64.58
06/20/1961,65.15
06/21/1961,65.14
06/22/1961,64.9
06/23/1961,65.16
06/26/1961,64.47
06/27/1961,64.47
06/28/1961,64.59
06/29/1961,64.52
06/30/1961,64.64
07/03/1961,65.21
07/05/1961,65.63
07/06/1961,65.81
07/07/1961,65.77
07/10/1961,65.71
07/11/1961,65.69
07/12/1961,65.32
07/13/1961,64.86
07/14/1961,65.28
07/17/1961,64.79
07/18/1961,64.41
07/19/1961,64.7
07/20/1961,64.71
07/21/1961,64.86
07/24/1961,64.87
07/25/1961,65.23
07/26/1961,65.84
07/27/1961,66.61
07/28/1961,66.71
07/31/1961,66.76
08/01/1961,67.37
08/02/1961,66.94
08/03/1961,67.29
08/04/1961,67.68
08/07/1961,67.67
08/08/1961,67.82
08/09/1961,67.74
08/10/1961,67.95
08/11/1961,68.06
08/14/1961,67.72
08/15/1961,67.55
08/16/1961,67.73
08/17/1961,68.11
08/18/1961,68.29
08/21/1961,68.43
08/22/1961,68.44
08/23/1961,67.98
08/24/1961,67.59
08/25/1961,67.67
08/28/1961,67.7
08/29/1961,67.55
08/30/1961,67.81
08/31/1961,68.07
09/01/1961,68.19
09/05/1961,67.96
09/06/1961,68.46
09/07/1961,68.35
09/08/1961,67.88
09/11/1961,67.28
09/12/1961,67.96
09/13/1961,68.01
09/14/1961,67.53
09/15/1961,67.65
09/18/1961,67.21
09/19/1961,66.08
09/20/1961,66.96
09/21/1961,66.99
09/22/1961,66.72
09/25/1961,65.77
09/26/1961,65.78
09/27/1961,66.47
09/28/1961,66.58
09/29/1961,66.73
10/02/1961,66.77
10/03/1961,66.73
10/04/1961,67.18
10/05/1961,67.77
10/06/1961,66.97
10/09/1961,67.94
10/10/1961,68.11
10/11/1961,68.17
10/12/1961,68.16
10/13/1961,68.04
10/16/1961,67.85
10/17/1961,67.87
10/18/1961,68.21
10/19/1961,68.45
10/20/1961,68
10/23/1961,68.06
10/24/1961,67.98
10/25/1961,68.34
10/26/1961,68.46
10/27/1961,68.34
10/30/1961,68.42
10/31/1961,68.62
11/01/1961,68.73
11/02/1961,69.11
11/03/1961,69.47
11/06/1961,70.01
11/08/1961,70.87
11/09/1961,70.77
11/10/1961,71.07
11/13/1961,71.27
11/14/1961,71.66
11/15/1961,71.67
11/16/1961,71.62
11/17/1961,71.62
11/20/1961,71.72
11/21/1961,71.78
11/22/1961,71.7
11/24/1961,71.84
11/27/1961,71.85
11/28/1961,71.75
11/29/1961,71.7
11/30/1961,71.32
12/01/1961,71.78
12/04/1961,72.01
12/05/1961,71.93
12/06/1961,71.99
12/07/1961,71.7
12/08/1961,72.04
12/11/1961,72.39
12/12/1961,72.64
12/13/1961,72.53
12/14/1961,71.98
12/15/1961,72.01
12/18/1961,71.76
12/19/1961,71.26
12/20/1961,71.12
12/21/1961,70.86
12/22/1961,70.91
12/26/1961,71.02
12/27/1961,71.65
12/28/1961,71.69
12/29/1961,71.55
01/02/1962,70.96
01/03/1962,71.13
01/04/1962,70.64
01/05/1962,69.66
01/08/1962,69.12
01/09/1962,69.15
01/10/1962,68.96
01/11/1962,69.37
01/12/1962,69.61
01/15/1962,69.47
01/16/1962,69.07
01/17/1962,68.32
01/18/1962,68.39
01/19/1962,68.75
01/22/1962,68.81
01/23/1962,68.29
01/24/1962,68.4
01/25/1962,68.35
01/26/1962,68.13
01/29/1962,67.9
01/30/1962,68.17
01/31/1962,68.84
02/01/1962,69.26
02/02/1962,69.81
02/05/1962,69.88
02/06/1962,69.96
02/07/1962,70.42
02/08/1962,70.58
02/09/1962,70.48
02/12/1962,70.46
02/13/1962,70.45
02/14/1962,70.42
02/15/1962,70.74
02/16/1962,70.59
02/19/1962,70.41
02/20/1962,70.66
02/21/1962,70.32
02/23/1962,70.16
02/26/1962,69.76
02/27/1962,69.89
02/28/1962,69.96
03/01/1962,70.2
03/02/1962,70.16
03/05/1962,70.01
03/06/1962,69.78
03/07/1962,69.69
03/08/1962,70.19
03/09/1962,70.42
03/12/1962,70.4
03/13/1962,70.6
03/14/1962,70.91
03/15/1962,71.06
03/16/1962,70.94
03/19/1962,70.85
03/20/1962,70.66
03/21/1962,70.51
03/22/1962,70.4
03/23/1962,70.45
03/26/1962,69.89
03/27/1962,69.7
03/28/1962,70.04
03/29/1962,70.01
03/30/1962,69.55
04/02/1962,69.37
04/03/1962,68.81
04/04/1962,68.49
04/05/1962,68.91
04/06/1962,68.84
04/09/1962,68.31
04/10/1962,68.56
04/11/1962,68.41
04/12/1962,67.9
04/13/1962,67.9
04/16/1962,67.6
04/17/1962,67.9
04/18/1962,68.27
04/19/1962,68.59
04/23/1962,68.53
04/24/1962,68.46
04/25/1962,67.71
04/26/1962,67.05
04/27/1962,66.3
04/30/1962,65.24
05/01/1962,65.7
05/02/1962,65.99
05/03/1962,66.53
05/04/1962,66.24
05/07/1962,66.02
05/08/1962,65.17
05/09/1962,64.26
05/10/1962,63.57
05/11/1962,62.65
05/14/1962,63.1
05/15/1962,64.29
05/16/1962,64.27
05/17/1962,63.93
05/18/1962,63.82
05/21/1962,63.59
